"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9335","Scenario 05: Leading space in email","firefox","Fri Dec 19 19:10:15 UTC 2025","passed","Fri Dec 19 19:10:24 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","15479","Trendyol Home Page Test","firefox","Fri Dec 19 19:08:20 UTC 2025","failed","Fri Dec 19 19:08:35 UTC 2025","","homepage.spec.ts","",""
"","6282","Scenario 06: Trailing space in email","firefox","Fri Dec 19 19:10:25 UTC 2025","passed","Fri Dec 19 19:10:31 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","14926","Trendyol Home Page Test","chromium","Fri Dec 19 19:07:12 UTC 2025","failed","Fri Dec 19 19:07:26 UTC 2025","","homepage.spec.ts","",""
"","11717","Scenario 01: Valid credentials","firefox","Fri Dec 19 19:09:10 UTC 2025","passed","Fri Dec 19 19:09:22 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5414","Scenario 02: Invalid email","chromium","Fri Dec 19 19:07:35 UTC 2025","passed","Fri Dec 19 19:07:41 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5326","Scenario 05: Leading space in email","chromium","Fri Dec 19 19:07:52 UTC 2025","passed","Fri Dec 19 19:07:57 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5313","Scenario 03: Invalid password","chromium","Fri Dec 19 19:07:41 UTC 2025","passed","Fri Dec 19 19:07:46 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6530","Scenario 02: Invalid email","firefox","Fri Dec 19 19:09:23 UTC 2025","passed","Fri Dec 19 19:09:30 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6643","Scenario 04: Empty password field","firefox","Fri Dec 19 19:09:35 UTC 2025","passed","Fri Dec 19 19:09:42 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5922","Scenario 04: Empty password field","chromium","Fri Dec 19 19:07:46 UTC 2025","passed","Fri Dec 19 19:07:52 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5312","Scenario 06: Trailing space in email","chromium","Fri Dec 19 19:07:57 UTC 2025","passed","Fri Dec 19 19:08:03 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","7308","Scenario 01: Valid credentials","chromium","Fri Dec 19 19:07:28 UTC 2025","passed","Fri Dec 19 19:07:35 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5902","Scenario 03: Invalid password","firefox","Fri Dec 19 19:09:30 UTC 2025","passed","Fri Dec 19 19:09:35 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
